symbol,name,asset_class,exchange,status,coverage_percent,missing_fields,missing_reasons
00400A,主動國泰動能高息,etf,TWSE,partial,84.62,成分股揭露狀態 | 產業配置,etf_holdings_not_disclosed | etf_allocation_missing
00402A,主動安聯美國科技,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
00403A,主動統一升級50,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
00405A,主動富邦台灣龍耀,etf,TWSE,partial,92.31,配息資訊,etf_distribution_missing
00407A,主動凱基台灣,etf,TWSE,partial,92.31,配息資訊,etf_distribution_missing
00408A,主動第一金優股息,etf,TWSE,partial,92.31,配息資訊,etf_distribution_missing
00409A,主動復華全球50,etf,TWSE,partial,92.31,配息資訊,etf_distribution_missing
00410A,主動永豐科技趨勢,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
0054,元大台商50,etf,TWSE,partial,69.23,發行投信 | 配息資訊 | 成分股揭露狀態 | 產業配置,etf_prospectus_missing | etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
0058,富邦發達,etf,TWSE,partial,69.23,發行投信 | 配息資訊 | 成分股揭露狀態 | 產業配置,etf_prospectus_missing | etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
0059,富邦金融,etf,TWSE,partial,69.23,發行投信 | 配息資訊 | 成分股揭露狀態 | 產業配置,etf_prospectus_missing | etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
0060,新台灣,etf,TWSE,partial,69.23,發行投信 | 配息資訊 | 成分股揭露狀態 | 產業配置,etf_prospectus_missing | etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
0061,元大寶滬深,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
006205,富邦上証,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
006206,元大上證50,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
006207,復華滬深,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
00625K,富邦上証+R,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
00631L,元大台灣50正2,etf,TWSE,partial,76.92,配息資訊 | 成分股揭露狀態 | 產業配置,etf_distribution_missing | etf_holdings_not_disclosed | etf_allocation_missing
