symbol,name,asset_class,exchange,status,coverage_percent,missing_fields,missing_reasons
00403A,主動統一升級50,etf,TWSE,partial,55.56,ETF 基金經理人 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
0050,元大台灣50,etf,TWSE,partial,44.44,ETF 基金經理人 | ETF 投資策略 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
006208,富邦台50,etf,TWSE,partial,44.44,ETF 基金經理人 | ETF 投資策略 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
00631L,元大台灣50正2,etf,TWSE,partial,55.56,ETF 基金經理人 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
00663L,國泰臺灣加權正2,etf,TWSE,partial,66.67,ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
009816,凱基台灣TOP50,etf,TWSE,partial,55.56,ETF 基金經理人 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
00981A,主動統一台股增長,etf,TWSE,partial,55.56,ETF 基金經理人 | ETF 成立日期 | ETF 上市日期 | ETF 保管機構,etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing | etf_master_or_prospectus_missing
2317,鴻海,stock,TWSE,partial,7.14,公司／基金全名 | 上市／上櫃日期 | 發行股數 | EPS | 股價淨值比 | 殖利率 | ROE | 負債比 | 淨利率 | 流動比率 | 本益比 | 最近財報 | 歷季財報,master_parse_missing | master_parse_missing | master_parse_missing | awaiting_filing_or_parser_mismatch | valuation_source_missing | valuation_source_missing | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | balance_sheet_parser_mismatch | valuation_source_missing | no_parsed_financial_statement | quarter_history_incomplete
2330,台積電,stock,TWSE,partial,7.14,公司／基金全名 | 上市／上櫃日期 | 發行股數 | EPS | 股價淨值比 | 殖利率 | ROE | 負債比 | 淨利率 | 流動比率 | 本益比 | 最近財報 | 歷季財報,master_parse_missing | master_parse_missing | master_parse_missing | awaiting_filing_or_parser_mismatch | valuation_source_missing | valuation_source_missing | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | balance_sheet_parser_mismatch | valuation_source_missing | no_parsed_financial_statement | quarter_history_incomplete
2382,廣達,stock,TWSE,partial,7.14,公司／基金全名 | 上市／上櫃日期 | 發行股數 | EPS | 股價淨值比 | 殖利率 | ROE | 負債比 | 淨利率 | 流動比率 | 本益比 | 最近財報 | 歷季財報,master_parse_missing | master_parse_missing | master_parse_missing | awaiting_filing_or_parser_mismatch | valuation_source_missing | valuation_source_missing | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | awaiting_filing_or_parser_mismatch | balance_sheet_parser_mismatch | valuation_source_missing | no_parsed_financial_statement | quarter_history_incomplete
